# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-27 18:52:41.212
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012367,-0.0750,-0.1024,0.2905,0.32
0.012643,-0.0820,-0.1052,0.3003,0.33
0.025453,-0.0765,-0.1035,0.2955,0.32
0.032613,-0.0673,-0.0973,0.2801,0.30
0.041833,-0.0556,-0.0834,0.2579,0.28
0.055312,-0.0385,-0.0643,0.2131,0.23
0.064615,-0.0198,-0.0457,0.1635,0.17
0.070180,0.0002,-0.0356,0.0990,0.11
0.082033,0.0162,-0.0305,0.0976,0.10
0.092385,0.0247,-0.0496,0.0926,0.11
0.099537,0.0248,-0.0704,0.0981,0.12
0.108744,0.0259,-0.0784,0.0998,0.13
0.125457,0.0331,-0.0821,0.0659,0.11
0.134463,0.0482,-0.0718,0.0070,0.09
0.141604,0.0619,-0.0549,-0.0484,0.10
0.149995,0.0780,-0.0412,-0.0890,0.13
0.161942,0.0939,-0.0301,-0.1201,0.16
0.173201,0.0989,-0.0184,-0.1404,0.17
0.180869,0.0925,-0.0133,-0.1491,0.18
0.189640,0.0919,-0.0108,-0.1480,0.17
0.206415,0.0826,0.0051,-0.1382,0.16
0.212067,0.0746,0.0083,-0.1332,0.15
0.224284,0.0690,0.0148,-0.1236,0.14
0.235233,0.0585,0.0196,-0.1115,0.13
0.245250,0.0402,0.0235,-0.0985,0.11
0.249783,0.0201,0.0227,-0.0821,0.09
0.261273,-0.0030,0.0275,-0.0620,0.07
0.269802,-0.0224,0.0302,-0.0338,0.05
0.278075,-0.0347,0.0276,-0.0092,0.05
0.288501,-0.0436,0.0276,0.0034,0.05
0.303472,-0.0463,0.0260,0.0192,0.06
0.314726,-0.0510,0.0203,0.0375,0.07
0.329049,-0.0518,0.0026,0.0969,0.11
0.336079,-0.0506,-0.0078,0.1210,0.13
0.347682,-0.0498,-0.0190,0.1339,0.14
0.355439,-0.0445,-0.0248,0.1356,0.14
0.368342,-0.0382,-0.0284,0.1283,0.14
0.375937,-0.0307,-0.0291,0.1168,0.12
0.386428,-0.0166,-0.0286,0.1082,0.11
0.393169,-0.0046,-0.0265,0.0949,0.10
0.402473,0.0067,-0.0266,0.0730,0.08
0.412537,0.0137,-0.0255,0.0458,0.05
0.427664,0.0222,-0.0188,0.0146,0.03
0.430860,0.0318,-0.0120,-0.0107,0.04
0.450004,0.0393,-0.0054,-0.0284,0.05
0.450688,0.0481,0.0002,-0.0463,0.07
0.462424,0.0553,0.0117,-0.0737,0.09
0.469328,0.0551,0.0205,-0.0980,0.11
0.478018,0.0546,0.0290,-0.1098,0.13
0.494277,0.0517,0.0341,-0.1123,0.13
0.512985,0.0245,0.0345,-0.0970,0.11
0.516017,0.0182,0.0377,-0.0891,0.10
0.529749,0.0113,0.0377,-0.0861,0.09
0.536034,-0.0041,0.0361,-0.0797,0.09
0.545084,-0.0207,0.0420,-0.0646,0.08
0.560436,-0.0313,0.0418,-0.0577,0.08
0.567042,-0.0441,0.0344,-0.0307,0.06
0.576263,-0.0586,0.0280,0.0087,0.07
0.583012,-0.0696,0.0198,0.0491,0.09
0.594278,-0.0722,0.0100,0.0812,0.11
0.602425,-0.0711,-0.0021,0.0977,0.12
0.617411,-0.0665,-0.0064,0.1005,0.12
0.626151,-0.0579,-0.0092,0.0859,0.10
0.630737,-0.0502,-0.0150,0.0678,0.09
0.645612,-0.0330,-0.0190,0.0475,0.06
0.651790,-0.0192,-0.0234,0.0453,0.05
0.662699,-0.0094,-0.0226,0.0558,0.06
0.673432,-0.0001,-0.0159,0.0536,0.06
0.686400,0.0112,-0.0093,0.0313,0.03
0.700194,0.0243,0.0031,-0.0152,0.03
0.707031,0.0290,0.0020,-0.0244,0.04
0.716143,0.0333,0.0037,-0.0208,0.04
0.725924,0.0319,0.0116,-0.0260,0.04
0.735229,0.0290,0.0220,-0.0561,0.07
0.751177,0.0296,0.0358,-0.0951,0.11
0.754609,0.0260,0.0422,-0.1265,0.14
0.769100,0.0161,0.0460,-0.1338,0.14
0.773834,0.0047,0.0503,-0.1156,0.13
0.783817,-0.0086,0.0541,-0.0760,0.09
0.793043,-0.0241,0.0511,-0.0535,0.08
0.801869,-0.0426,0.0454,-0.0461,0.08
0.816605,-0.0580,0.0355,-0.0443,0.08
